"","X","DNP","Plot","Treatment","Trt","Rep","ToLine","ToSoil","Depth","CoreHt","Enotes","Flag","BagSampWt","RockWt","TinWt","WetSampTinWt","TotWetSampWt","Snotes","DryTinWt","TNotes","CNWeight","C","N","S","CN","WoodWt","WoodVol","WoodVolEst","CoreVol","RockVol","EffVol","moisture","BagWtChk","TotDrySamplWt","Bulk.Density","OM","Mineral"
"72",72,72,3,"No Litter","NL","C",7.6,9.2,0,2.8,"Wonky extraction","X",73.65,6.77,1.13,11.95,64.84,"Light charcoal",1228,"",94.321,3.864,0.19,0.961,20.4,0,0,0,64.09368,3.56315789473684,60.5305221052632,-0.99118080970274,8.81,7345.37887245849,121.350000247558,6.700176,93.299824
"73",73,73,17,"Double Litter","DL","C",7.7,6.6,10,4.95,"","",121.89,1.39,1.65,12.46,112.4,"",12.08,"",80.957,2.347,0.343,1,6.8,0,0,0,113.30847,0.731578947368421,112.576891052632,0.0364333652924258,9.48999999999999,107.058843663275,0.9509841910026,4.069698,95.930302
"74",74,74,17,"Double Litter","DL","C",7.7,6.6,7.5,2.38,"","",56.94,0,1.39,11.92,48.28,"",11.5,"",82.815,3.38,0.21,0.046,16.1,0,0,0,54.479628,0,54.479628,0.0415430267062315,8.66,46.354301994302,0.850855699570893,5.86092,94.13908
"75",75,75,17,"Double Litter","DL","C",7.7,6.6,5,2.65,"","",58.83,0.92,1.15,9.15,50.22,"",10.42,"",80.03,3.92,0.23,0.05,17,0,0,0,60.66009,0.48421052631579,60.1758794736842,-0.137001078748652,8.61,57.272425,0.951750526970629,6.79728,93.20272
"76",76,76,17,"Double Litter","DL","C",7.7,6.6,2.5,2.5,"","",53.19,0,1.31,11.96,44.5,"",11.54,"",83.937,5.65,0.28,0.064,20.2,0,0,0,57.2265,0,57.2265,0.0410557184750735,8.69,42.7450704225352,0.746945391078175,9.7971,90.2029
"77",77,77,17,"Double Litter","DL","C",7.7,6.6,0,2.6,"","",76.67,6.97,1.63,11.55,67.8,"",11.1,"",82.869,10.16,0.42,0.062,24.2,0,0,0,59.51556,3.66842105263158,55.8471389473684,0.0475184794086592,8.87,57.7543951612903,1.03415136835782,17.61744,82.38256
"78",78,78,1,"No Root","NR","C",7.6,8.2,10,5,"","",93.67,8.05,1.6,11.66,84.89,"",11.38,"",86.002,4.298,0.259,1.038,16.6,0,0,0,114.453,4.23684210526316,110.216157894737,0.0286298568507157,8.78,74.4772564612326,0.675738093976774,7.452732,92.547268
"79",79,79,1,"No Root","NR","C",7.6,8.2,7.5,2.25,"","",52.97,0.99,1.39,10.4,44.1,"",10.11,"",80.251,5.42,0.26,0.052,20.8,0,0,0,51.50385,0.521052631578947,50.9827973684211,0.0332568807339451,8.87,41.690577136515,0.817738125180598,9.39828,90.60172
"80",80,80,1,"No Root","NR","C",7.6,8.2,5,2.65,"","",53.46,7.51,1.14,11.82,44.51,"",11.37,"",92.823,4.546,0.231,1.05,19.7,0,0,0,60.66009,3.95263157894737,56.7074584210526,0.0439882697947215,8.95,35.1245786516854,0.619399628015164,7.882764,92.117236
"81",81,81,1,"No Root","NR","C",7.6,8.2,2.5,2.42,"","",45.59,2.26,1.63,10.96,36.76,"",9.79,"",91.432,5.7,0.26,0.045,21.9,0,0,0,55.395252,1.18947368421053,54.2057783157895,0.143382352941177,8.83000000000001,29.8902250803858,0.551421379954232,9.8838,90.1162
"82",82,82,1,"No Root","NR","C",7.6,8.2,0,2.5,"","",42.75,2.43,1.61,10.29,33.84,"",9.74,"",82.173,13.53,0.38,0.06,35.6,0,0,0,57.2265,1.27894736842105,55.947552631579,0.0676506765067649,8.91,29.2657603686636,0.523092771570939,23.46102,76.53898
"83",83,83,17,"Double Litter","DL","A",7.5,8.3,10,4.87,"","",116.3,20.5,1.63,11.69,107.3,"",11.98,"",86.676,3.93,0.21,0.049,18.7,0.2,1,2,111.477222,10.7894736842105,99.6877483157895,-0.0280193236714978,9,89.6931411530815,0.899740867543249,6.81462,93.18538
