"","DNP","Plot","Rep","Depth","Trt","Label","RockWt","RootWt","Notes"
"57",57,3,"B",2.5,"NL","wood/charcoal",NA,0.017,""
"58",58,3,"B",0,"NL",NA,NA,NA,NA
"59",59,1,"B",10,"NR",NA,NA,NA,NA
"60",60,1,"B",7.5,"NR","Bulk",0.22,0.047,""
"61",61,1,"B",5,"NR",NA,NA,NA,NA
"62",62,1,"B",2.5,"NR","Roots",NA,0.061,""
"63",63,1,"B",0,"NR",NA,NA,NA,NA
"64",64,1,"A",10,"NR","Bulk",1.49,0.072,""
"65",65,1,"A",7.5,"NR",NA,NA,NA,NA
"66",66,1,"A",5,"NR",NA,NA,NA,NA
"67",67,1,"A",0,"NR","Bulk",1.637,0.046,""
"68",68,3,"C",10,"NL","Wood+charcoal",NA,0.164,"saved wood"
"69",69,3,"C",7.5,"NL",NA,NA,NA,NA
"70",70,3,"C",5,"NL","Rocks",6.136,NA,""
"71",71,3,"C",2.5,"NL","charcoal",NA,NA,"no rocks and roots found in the sample"
"72",72,3,"C",0,"NL","charcoal",NA,0.057,""
"73",73,17,"C",10,"DL",NA,NA,NA,NA
"74",74,17,"C",7.5,"DL","Bulk",NA,0.014,""
"75",75,17,"C",5,"DL",NA,NA,NA,NA
"76",76,17,"C",2.5,"DL","Bulk",NA,0.077,""
"77",77,17,"C",0,"DL",NA,NA,NA,NA
"78",78,1,"C",10,"NR",NA,NA,NA,NA
"79",79,1,"C",7.5,"NR","Bulk",1.001,0.056,""
"80",80,1,"C",5,"NR","Wood/charcoal/root",NA,0.035,""
"81",81,1,"C",2.5,"NR","Charcoal/roots",NA,0.047,""
"82",82,1,"C",0,"NR","Charcoal",NA,0.144,"saved rock and wood"
"83",83,17,"A",10,"DL","wood/charcoal/roots",NA,0.378,""
"84",84,17,"A",7.5,"DL","wood",NA,0.028,""
"85",85,17,"A",5,"DL",NA,NA,NA,NA
"86",86,17,"A",2.5,"DL",NA,NA,NA,NA
"87",87,17,"A",0,"DL",NA,NA,NA,NA
"88",88,17,"B",10,"DL","Wood/charcoal",NA,NA,""
"89",89,17,"B",7.5,"DL",NA,NA,NA,NA
"90",90,17,"B",5,"DL",NA,NA,NA,NA
"91",91,17,"B",2.5,"DL",NA,NA,NA,NA
"92",92,17,"B",0,"DL",NA,NA,NA,NA
"93",93,4,"C",10,"NR","charcoal",NA,0.22,"saved wood+ charcoal"
"94",94,4,"C",7.5,"NR","Charcoal",NA,0.014,""
