JAR,AMENDMENT,TRT,DAY,HOUR,X12C,X13C
143,PHENOL,NI,7,159,127.4585847,3.796691374
144,PHENOL,NI,7,159,102.6475426,3.231990019
151,CELLULOSE,NR,7,159,174.482393,0.901567473
152,CELLULOSE,NR,7,159,169.505542,0.869977214
153,CELLULOSE,NR,7,159,164.681736,0.755515438
169,OXALATE,NR,7,159,194.6055938,14.04143683
170,OXALATE,NR,7,159,223.1758201,14.7623343
171,OXALATE,NR,7,159,207.3613903,13.9243368
178,PHENOL,NR,7,159,174.6395095,3.336500538
179,PHENOL,NR,7,159,169.8130036,3.231481408
180,PHENOL,NR,7,159,166.0888134,3.145410741
7,CELLULOSE,CTL,8,181,175.232,0.622
8,CELLULOSE,CTL,8,181,210.668,0.643
9,CELLULOSE,CTL,8,181,170.764,0.46
25,OXALATE,CTL,8,181,209.7,14.873
26,OXALATE,CTL,8,181,212.673,12.276
27,OXALATE,CTL,8,181,202.696,11.259
34,PHENOL,CTL,8,181,205.86,3.189
35,PHENOL,CTL,8,181,178.867,3.203
36,PHENOL,CTL,8,181,221.513,3.434
43,CELLULOSE,DW,8,181,266.644,0.498
44,CELLULOSE,DW,8,181,220.365,0.635
45,CELLULOSE,DW,8,181,274.611,0.461
61,OXALATE,DW,8,181,292.829,14.147
62,OXALATE,DW,8,181,312.311,15.301
63,OXALATE,DW,8,181,313.234,13.169
70,PHENOL,DW,8,181,279.205,5.701
71,PHENOL,DW,8,181,315.547,5.497
72,PHENOL,DW,8,181,301.411,5.452
79,CELLULOSE,DL,8,181,,
80,CELLULOSE,DL,8,181,216.736,0.553
81,CELLULOSE,DL,8,181,240.182,0.697
97,OXALATE,DL,8,181,249.99,12.825
98,OXALATE,DL,8,181,,
99,OXALATE,DL,8,181,263.175,11.849
106,PHENOL,DL,8,181,262.372,3.783
107,PHENOL,DL,8,181,237.618,3.46
108,PHENOL,DL,8,181,236.589,3.538
115,CELLULOSE,NI,8,181,144.951,0.713
116,CELLULOSE,NI,8,181,136.534,0.749
117,CELLULOSE,NI,8,181,125.025,0.668
133,OXALATE,NI,8,181,152.365,14.302
134,OXALATE,NI,8,181,147.415,13.594
135,OXALATE,NI,8,181,140.386,12.652
142,PHENOL,NI,8,181,153.364,4.057
143,PHENOL,NI,8,181,144.152,3.926
144,PHENOL,NI,8,181,115.157,3.334
151,CELLULOSE,NR,8,181,196.632,1.234
152,CELLULOSE,NR,8,181,192.867,1.185
153,CELLULOSE,NR,8,181,182.176,1.014
169,OXALATE,NR,8,181,218.001,14.142
170,OXALATE,NR,8,181,250.459,14.872
171,OXALATE,NR,8,181,232.632,14.018
178,PHENOL,NR,8,181,195.619,3.447
179,PHENOL,NR,8,181,186.391,3.31
180,PHENOL,NR,8,181,175.645,3.174
7,CELLULOSE,CTL,9,209,194.116,0.735
8,CELLULOSE,CTL,9,209,240.548,0.775
9,CELLULOSE,CTL,9,209,189.761,0.539
25,OXALATE,CTL,9,209,237.561,14.929
26,OXALATE,CTL,9,209,244.857,12.349
27,OXALATE,CTL,9,209,223.705,11.259
34,PHENOL,CTL,9,209,236.203,3.331
35,PHENOL,CTL,9,209,201.563,3.316
36,PHENOL,CTL,9,209,250.295,3.567
43,CELLULOSE,DW,9,209,305.568,0.593
44,CELLULOSE,DW,9,209,244.787,0.798
45,CELLULOSE,DW,9,209,315.337,0.557
61,OXALATE,DW,9,209,335.287,14.238
62,OXALATE,DW,9,209,352.031,15.38
63,OXALATE,DW,9,209,354.95,13.248
70,PHENOL,DW,9,209,318.115,5.876
71,PHENOL,DW,9,209,360.455,5.679
72,PHENOL,DW,9,209,342.853,5.621
79,CELLULOSE,DL,9,209,,
80,CELLULOSE,DL,9,209,244.332,0.694
81,CELLULOSE,DL,9,209,274.467,0.928
97,OXALATE,DL,9,209,281.924,12.897
98,OXALATE,DL,9,209,,
99,OXALATE,DL,9,209,297.485,11.926
106,PHENOL,DL,9,209,301.548,3.958
107,PHENOL,DL,9,209,274.215,3.63
108,PHENOL,DL,9,209,268.629,3.677
115,CELLULOSE,NI,9,209,166.209,1.076
116,CELLULOSE,NI,9,209,157.341,1.143
117,CELLULOSE,NI,9,209,142.612,0.996
133,OXALATE,NI,9,209,161.009,14.253
