,ï..Year,TX_Year,Plot,Treatment,Trt,Type,Depth,percC,percN,CtoN,X
90,2017,20,9,No OA,NOA,NOA,10-20cm,1.17,0.058,20.2,NA
96,2017,20,15,No OA,NOA,NOA,10-20cm,2.03,0.098,20.7,NA
99,2017,20,18,No OA,NOA,NOA,10-20cm,3.3,0.146,22.6,NA
104,2017,20,18,No OA,NOA,NOA,20-40cm,1.9,0.103,18.4,NA
107,2017,20,15,No OA,NOA,NOA,20-40cm,2.19,0.095,23.1,NA
121,2017,20,9,No OA,NOA,NOA,20-40cm,1.13,0.078,14.5,NA
132,2017,20,9,No OA,NOA,NOA,40-60cm,1.21,0.075,16.1,NA
138,2017,20,15,No OA,NOA,NOA,40-60cm,1.4,0.071,19.7,NA
141,2017,20,18,No OA,NOA,NOA,40-60cm,0.98,0.06,16.3,NA
153,2017,20,9,No OA,NOA,NOA,60-100cm,0.66,0.055,12,NA
159,2017,20,15,No OA,NOA,NOA,60-100cm,0.36,0.022,16.4,NA
162,2017,20,18,No OA,NOA,NOA,60-100cm,0.65,0.036,18.1,NA
16,2007,10,6,No Root,NR,RMV,0-10cm,3.47,0.159,21.8,NA
17,2007,10,1,No Root,NR,RMV,0-10cm,4.15,0.151,27.5,NA
18,2007,10,4,No Root,NR,RMV,0-10cm,3.56,0.164,21.7,NA
37,2012,15,1,No Root,NR,RMV,0-10cm,7.57,0.28,27,NA
38,2012,15,4,No Root,NR,RMV,0-10cm,3.59,0.132,27.2,NA
39,2012,15,6,No Root,NR,RMV,0-10cm,5.94,0.251,23.6,NA
58,2012,15,1,No Root,NR,RMV,10-20cm,4.23,0.197,21.5,NA
59,2012,15,4,No Root,NR,RMV,10-20cm,3.46,0.139,24.8,NA
60,2012,15,6,No Root,NR,RMV,10-20cm,3.32,0.153,21.7,NA
61,2017,20,1,No Root,NR,RMV,0-10cm,5.77,0.251,23,NA
64,2017,20,4,No Root,NR,RMV,0-10cm,4.04,0.206,19.6,NA
66,2017,20,6,No Root,NR,RMV,0-10cm,5.38,0.223,24.1,NA
82,2017,20,1,No Root,NR,RMV,10-20cm,2.83,0.15,18.9,NA
85,2017,20,4,No Root,NR,RMV,10-20cm,2.57,0.16,16.1,NA
87,2017,20,6,No Root,NR,RMV,10-20cm,2.96,0.17,17.4,NA
114,2017,20,1,No Root,NR,RMV,20-40cm,2.41,0.139,17.3,NA
115,2017,20,6,No Root,NR,RMV,20-40cm,2.05,0.127,16.1,NA
118,2017,20,4,No Root,NR,RMV,20-40cm,1.82,0.134,13.6,NA
124,2017,20,1,No Root,NR,RMV,40-60cm,0.94,0.061,15.4,NA
127,2017,20,4,No Root,NR,RMV,40-60cm,1,0.074,13.5,NA
129,2017,20,6,No Root,NR,RMV,40-60cm,0.8,0.059,13.6,NA
145,2017,20,1,No Root,NR,RMV,60-100cm,0.58,0.036,16.1,NA
148,2017,20,4,No Root,NR,RMV,60-100cm,0.41,0.034,12.1,NA
150,2017,20,6,No Root,NR,RMV,60-100cm,0.4,0.025,16,NA
